Row,Col,Score_MC,UsedSamples
JE,HI,1.0,900
UR,KA,1.0,958
PB,WI,1.0,968
KN,TH,0.8216633601742699,779
LW,SY,0.7455808080808081,792
LW,AY,0.732502965599051,843
CM,HR,0.7116591582919399,787
KN,NN,0.6675656823994441,782
NG,EM,0.627840019600321,801
ML,HR,0.5942766844607305,815
NG,NN,0.5794325011557996,824
CM,EM,0.5781046032701632,755
TR,HR,0.5637137293763779,747
ML,TH,0.5298559044048745,776
TR,TH,0.5030791788856317,806
NG,SY,0.5020476355077126,789
NG,AY,0.4863240351962167,798
ML,NN,0.484393637625578,789
TR,EM,0.47843867418142927,828
CM,AY,0.47611864739727133,786
CM,SY,0.4737379366768169,769
ML,EM,0.4717848686364909,802
TR,NN,0.4516326772186159,768
ML,AY,0.4251970880336842,817
ML,SY,0.40765855090389114,805
TR,AY,0.40378373717457644,797
TR,SY,0.4017304248797333,797
